tip,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,altitude
Scleria_liberica_SC436,167.9759841382,76.0531590646,17.0158120765,235902.322743165,182.5867335455,371.9253025886,350.3999324332,166.9115222962,326.169978543,136.7796815059,292.6817798683,77188.2465597717,2549.7945451906,271.7390658375,104.1075394023,16611.0184180493,3040.4749039878,10352.3459469733,19858.8475883244,42626.3860247629
Scleria_lithosperma_SC182,0.2104691822,0.7015227951,0.1010388812,734.2804786615,0.5873598611,0.9910220251,2.253197215,0.2208272157,0.4547739947,0.2353388709,0.434126905,693.2787464354,14.992841577,3.1581541332,1.2572684694,117.8871429544,35.8489052212,87.3726262514,80.2544361587,36.4969700435
Scleria_longispiculata_SC144,83.9879920691,38.0265795323,8.5079060383,117951.161371582,91.2933667728,185.9626512943,175.1999662166,83.4557611481,163.0849892715,68.389840753,146.3408899342,38594.1232798859,1274.8972725953,135.8695329187,52.0537697011,8305.5092090247,1520.2374519939,5176.1729734866,9929.4237941622,21313.1930123814
Scleria_mackaviensis_SC110,0.5174861979,0.3455836492,0.0026060945,651.2128962669,0.526762548,0.9856247724,1.5445734603,0.4328991948,0.8548083605,0.3741391801,0.7872378863,85.045890104,2.6848594901,0.0930853506,0.1720793741,22.2753941464,1.023879187,16.9369263311,2.1809936086,70.5761739299
Scleria_macrogyne_SC104,3.8832742317,5.0269558954,0.960660461,1988.4658687943,5.2747857565,7.470513815,8.4233063682,3.9458850473,6.0274822695,3.9298814273,4.9788619238,8248.9682236259,160.8791001773,43.2416888298,4.9918735225,1250.2863105792,428.4081615691,704.3352449025,2833.9882443115,1246.7410978132
Scleria_macrophylla_SC145,1.2593244233,1.6987468768,0.3955567229,2333.3110746874,1.7840049372,4.6212158982,5.0926864653,1.0730848841,2.7815306448,1.3526804597,2.1788781805,5629.7280434189,101.58127915,21.3079285059,2.3195169887,675.2655374364,229.4754193423,538.5115223282,1171.5164882095,377.7577033659
Scleria_madagascariensis_JG23,45.8116320377,20.741770654,4.6406760209,64336.9971117723,49.796381876,101.4341734333,95.5636179363,45.5213242626,88.9554486935,37.3035495016,79.8223036005,21051.3399708468,695.3985123247,74.1106543193,28.3929652915,4530.2777503771,829.2204283603,2823.3670764473,5416.0493422703,11625.3780067535
Scleria_maypurensis_SC451,503.9279524147,228.1594771939,51.0474362296,707706.968229495,547.7602006365,1115.7759077659,1051.1997972997,500.7345668885,978.5099356289,410.3390445178,878.045339605,231564.739679315,7649.3836355718,815.2171975124,312.3226182068,49833.0552541479,9121.4247119634,31057.0378409198,59576.5427649731,127879.158074289
Scleria_melanomphala_SC112,8.7784916559,2.4323811279,0.6641480121,5872.9254230107,11.0976554131,14.2895168037,6.2172761428,5.0046822318,16.5769115223,7.3695252777,13.9159448425,1571.8767766329,79.5594800233,3.5126672803,5.1169851789,522.4362111744,42.8233067903,365.6462700733,953.0366355914,2618.2175059456
Scleria_melanotricha_SC449,15.9114204082,9.1394612245,0.6891836735,3259.733877551,30.8619510204,19.1686204082,31.1003183673,14.2836,17.4632163265,21.1859673469,13.5973959184,4538.6896,137.252244898,1.4530612245,6.8671755102,916.7863265306,76.8781142857,751.2659918367,1903.8772326531,5213.8287755102
